RSSI,y_cor,x_cor,distance
-23,0,0,Level_0
-24,0,0,Level_0
-24,0,0,Level_0
-14,0,1,Level_0
-15,0,1,Level_0
-19,0,1,Level_0
-15,0,2,Level_0
-16,0,2,Level_0
-17,0,2,Level_0
-11,0,3,Level_0
-11,0,3,Level_0
-10,0,3,Level_0
-9,0,4,Level_0
-10,0,4,Level_0
-12,0,4,Level_0
-13,0,5,Level_0
-12,0,5,Level_0
-12,0,5,Level_0
-21,0,6,Level_0
-22,0,6,Level_0
-23,0,6,Level_0
-28,0,7,Level_0
-28,0,7,Level_0
-29,0,7,Level_0
-32,0,8,Level_0
-33,0,8,Level_0
-34,0,8,Level_0
-22,1,0,Level_0
-22,1,0,Level_0
-22,1,0,Level_0
-16,1,1,Level_0
-16,1,1,Level_0
-16,1,1,Level_0
-12,1,2,Level_0
-12,1,2,Level_0
-12,1,2,Level_0
-10,1,3,Level_0
-11,1,3,Level_0
-12,1,3,Level_0
-12,1,4,Level_0
-13,1,4,Level_0
-15,1,4,Level_0
-15,1,5,Level_0
-16,1,5,Level_0
-17,1,5,Level_0
-27,1,6,Level_0
-28,1,6,Level_0
-28,1,6,Level_0
-34,1,7,Level_0
-34,1,7,Level_0
-35,1,7,Level_0
-39,1,8,Level_0
-40,1,8,Level_0
-41,1,8,Level_0
-24,2,0,Level_0
-24,2,0,Level_0
-25,2,0,Level_0
-20,2,1,Level_0
-21,2,1,Level_0
-22,2,1,Level_0
-22,2,2,Level_0
-22,2,2,Level_0
-23,2,2,Level_0
-14,2,3,Level_0
-14,2,3,Level_0
-14,2,3,Level_0
-16,2,4,Level_0
-16,2,4,Level_0
-17,2,4,Level_0
-17,2,5,Level_0
-18,2,5,Level_0
-18,2,5,Level_0
-27,2,6,Level_0
-27,2,6,Level_0
-34,2,6,Level_0
-28,2,7,Level_0
-28,2,7,Level_0
-33,2,7,Level_0
-34,2,8,Level_0
-35,2,8,Level_0
-36,2,8,Level_0
-24,3,0,Level_1
-24,3,0,Level_1
-26,3,0,Level_1
-20,3,1,Level_1
-20,3,1,Level_1
-21,3,1,Level_1
-17,3,2,Level_1
-18,3,2,Level_1
-17,3,2,Level_1
-16,3,3,Level_1
-16,3,3,Level_1
-17,3,3,Level_1
-19,3,4,Level_1
-20,3,4,Level_1
-22,3,4,Level_1
-19,3,5,Level_1
-20,3,5,Level_1
-23,3,5,Level_1
-33,3,6,Level_1
-34,3,6,Level_1
-33,3,6,Level_1
-27,3,7,Level_1
-27,3,7,Level_1
-28,3,7,Level_1
-29,3,8,Level_1
-30,3,8,Level_1
-31,3,8,Level_1
-32,4,0,Level_1
-34,4,0,Level_1
-36,4,0,Level_1
-25,4,1,Level_1
-25,4,1,Level_1
-25,4,1,Level_1
-24,4,2,Level_1
-24,4,2,Level_1
-24,4,2,Level_1
-26,4,3,Level_1
-28,4,3,Level_1
-26,4,3,Level_1
-15,4,4,Level_1
-15,4,4,Level_1
-17,4,4,Level_1
-17,4,5,Level_1
-19,4,5,Level_1
-18,4,5,Level_1
-21,4,6,Level_1
-22,4,6,Level_1
-23,4,6,Level_1
-27,4,7,Level_1
-30,4,7,Level_1
-30,4,7,Level_1
-33,4,8,Level_1
-34,4,8,Level_1
-35,4,8,Level_1
-17,5,0,Level_1
-20,5,0,Level_1
-19,5,0,Level_1
-29,5,1,Level_1
-29,5,1,Level_1
-29,5,1,Level_1
-24,5,2,Level_1
-24,5,2,Level_1
-22,5,2,Level_1
-18,5,3,Level_1
-20,5,3,Level_1
-23,5,3,Level_1
-23,5,4,Level_1
-23,5,4,Level_1
-24,5,4,Level_1
-20,5,5,Level_1
-22,5,5,Level_1
-25,5,5,Level_1
-28,5,6,Level_1
-29,5,6,Level_1
-30,5,6,Level_1
-33,5,7,Level_1
-34,5,7,Level_1
-36,5,7,Level_1
-35,5,8,Level_1
-36,5,8,Level_1
-38,5,8,Level_1
-18,6,0,Level_2
-19,6,0,Level_2
-21,6,0,Level_2
-25,6,1,Level_2
-25,6,1,Level_2
-24,6,1,Level_2
-18,6,2,Level_2
-19,6,2,Level_2
-22,6,2,Level_2
-19,6,3,Level_2
-20,6,3,Level_2
-22,6,3,Level_2
-22,6,4,Level_2
-23,6,4,Level_2
-23,6,4,Level_2
-23,6,5,Level_2
-23,6,5,Level_2
-24,6,5,Level_2
-24,6,6,Level_2
-24,6,6,Level_2
-23,6,6,Level_2
-33,6,7,Level_2
-32,6,7,Level_2
-31,6,7,Level_2
-31,6,8,Level_2
-31,6,8,Level_2
-31,6,8,Level_2
-24,7,0,Level_2
-24,7,0,Level_2
-23,7,0,Level_2
-29,7,1,Level_2
-22,7,1,Level_2
-22,7,1,Level_2
-24,7,2,Level_2
-24,7,2,Level_2
-26,7,2,Level_2
-22,7,3,Level_2
-23,7,3,Level_2
-24,7,3,Level_2
-22,7,4,Level_2
-23,7,4,Level_2
-23,7,4,Level_2
-24,7,5,Level_2
-24,7,5,Level_2
-26,7,5,Level_2
-31,7,6,Level_2
-28,7,6,Level_2
-35,7,6,Level_2
-35,7,7,Level_2
-37,7,7,Level_2
-37,7,7,Level_2
-38,7,8,Level_2
-39,7,8,Level_2
-40,7,8,Level_2
-33,8,0,Level_2
-29,8,0,Level_2
-31,8,0,Level_2
-27,8,1,Level_2
-33,8,1,Level_2
-38,8,1,Level_2
-25,8,2,Level_2
-26,8,2,Level_2
-28,8,2,Level_2
-24,8,3,Level_2
-26,8,3,Level_2
-28,8,3,Level_2
-27,8,4,Level_2
-29,8,4,Level_2
-27,8,4,Level_2
-28,8,5,Level_2
-30,8,5,Level_2
-29,8,5,Level_2
-34,8,6,Level_2
-35,8,6,Level_2
-35,8,6,Level_2
-40,8,7,Level_2
-38,8,7,Level_2
-43,8,7,Level_2
-39,8,8,Level_2
-38,8,8,Level_2
-41,8,8,Level_2
-41,9,0,Level_3
-41,9,0,Level_3
-40,9,0,Level_3
-27,9,1,Level_3
-29,9,1,Level_3
-30,9,1,Level_3
-25,9,2,Level_3
-25,9,2,Level_3
-26,9,2,Level_3
-24,9,3,Level_3
-24,9,3,Level_3
-25,9,3,Level_3
-23,9,4,Level_3
-24,9,4,Level_3
-25,9,4,Level_3
-26,9,5,Level_3
-29,9,5,Level_3
-31,9,5,Level_3
-33,9,6,Level_3
-34,9,6,Level_3
-35,9,6,Level_3
-36,9,7,Level_3
-37,9,7,Level_3
-41,9,7,Level_3
-40,9,8,Level_3
-41,9,8,Level_3
-42,9,8,Level_3
-43,10,0,Level_3
-43,10,0,Level_3
-43,10,0,Level_3
-43,10,1,Level_3
-43,10,1,Level_3
-43,10,1,Level_3
-37,10,2,Level_3
-38,10,2,Level_3
-40,10,2,Level_3
-25,10,3,Level_3
-27,10,3,Level_3
-30,10,3,Level_3
-28,10,4,Level_3
-29,10,4,Level_3
-33,10,4,Level_3
-29,10,5,Level_3
-29,10,5,Level_3
-30,10,5,Level_3
-34,10,6,Level_3
-35,10,6,Level_3
-36,10,6,Level_3
-40,10,7,Level_3
-40,10,7,Level_3
-41,10,7,Level_3
-41,10,8,Level_3
-41,10,8,Level_3
-41,10,8,Level_3
-33,11,0,Level_3
-34,11,0,Level_3
-35,11,0,Level_3
-32,11,1,Level_3
-33,11,1,Level_3
-33,11,1,Level_3
-31,11,2,Level_3
-32,11,2,Level_3
-34,11,2,Level_3
-28,11,3,Level_3
-29,11,3,Level_3
-30,11,3,Level_3
-37,11,4,Level_3
-40,11,4,Level_3
-42,11,4,Level_3
-36,11,5,Level_3
-37,11,5,Level_3
-38,11,5,Level_3
-41,11,6,Level_3
-42,11,6,Level_3
-42,11,6,Level_3
-42,11,7,Level_3
-42,11,7,Level_3
-42,11,7,Level_3
-44,11,8,Level_3
-44,11,8,Level_3
-44,11,8,Level_3